City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
515,Gatesville,US,66.49,clear sky,31.4352,-97.7439,Ramada by Wyndham Gatesville N. Fort Hood
516,Kade,DE,50.02,overcast clouds,52.3833,12.2667,Craft Berry GmbH
518,Dubai,AE,73.33,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
519,Mulege,MX,68.67,broken clouds,26.8833,-111.9833,Casa Granada
520,Dawson,US,60.22,clear sky,31.7735,-84.4466,Country Hearth Inn & Suites Dawson
524,Mali,GN,63.82,clear sky,12.079,-12.2982,Hotel La Dame de Mali
531,Kutum,SD,59.94,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
537,Abha,SA,51.62,clear sky,18.2164,42.5053,Abha Hotel
538,Machhlishahr,IN,62.55,clear sky,25.6833,82.4167,Dulhan pelece
540,Inhambane,MZ,73.51,overcast clouds,-23.865,35.3833,Oceano
547,Seoul,KR,51.24,mist,37.5683,126.9778,Lotte Hotel Seoul
548,Barcelos,PT,59.92,overcast clouds,41.5388,-8.6151,Hotel Do Terço
551,Springbok,ZA,53.78,clear sky,-29.6643,17.8865,Undulata Country Lodge
556,Cacu,BR,72.1,overcast clouds,-18.5567,-51.1308,Império Hotel
557,Camana,PE,67.01,overcast clouds,-16.6228,-72.7111,Hostal Morales
558,Laohekou,CN,56.44,light rain,32.3858,111.6678,Laohekou Hotel
560,Sakaiminato,JP,53.58,broken clouds,35.55,133.2333,味処・民宿 まつや
564,Zemio,CF,70.84,overcast clouds,5.0314,25.1361,OCHA Office
566,Luanshya,ZM,63.66,light rain,-13.1367,28.4166,CHOLWA GUEST HOUSE
568,Alghero,IT,54.99,fog,40.5589,8.3181,Villa Las Tronas Hotel & Spa
570,Adwa,ET,58.35,clear sky,14.1646,38.8955,Maay Assa Hotel
572,Ulladulla,AU,60.87,light rain,-35.35,150.4667,Sandpiper Motel
576,Placido De Castro,BR,72.37,overcast clouds,-10.3353,-67.1856,Hotel Carioca
579,Pinahat,IN,67.37,clear sky,26.8839,78.3781,Dadauriya Tent House
581,Mao,ES,61.36,broken clouds,39.8885,4.2658,ARTIEM Capri
586,Janakpur,NP,67.24,clear sky,26.7183,85.9065,Hotel Sita Palace
588,Colares,PT,57.29,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
589,Anori,BR,73.38,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
593,Saint-Joseph,RE,73.76,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
597,Anzio,IT,57.45,clear sky,41.4853,12.6179,Beauty Hotel & SPA
598,Kushima,JP,60.84,overcast clouds,31.4583,131.2333,Hanaoka
602,Vemalwada,IN,73.67,overcast clouds,18.4667,78.8833,Hotel Lakshmi Niharika
604,Jiangyan,CN,57.4,overcast clouds,32.5061,120.1428,Super 8 Taizhou Jiangyan East Luotang Road
606,Phalodi,IN,68.29,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
607,Rio Grande,BR,66.07,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
613,Puerto Leguizamo,CO,72.05,overcast clouds,-0.1934,-74.7819,la casona de juancho
615,San Quintin,MX,60.76,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
616,Namibe,AO,67.06,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
621,Manacor,ES,59.32,overcast clouds,39.5696,3.2096,Hotel Can Guixa
628,Bahia Blanca,AR,66.63,clear sky,-38.7196,-62.2724,Hotel Argos
635,Vallenar,CL,67.33,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
636,Gejiu,CN,54.55,broken clouds,23.306,103.1635,Hongtai Commercial Hotel
637,Aviles,ES,52.93,few clouds,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
638,Garowe,SO,65.26,broken clouds,8.4054,48.4845,Curubo Hotel
639,Ibipeba,BR,72.21,scattered clouds,-11.6408,-42.0111,Quitanda santos
640,Contamana,PE,72.21,light rain,-7.3333,-75.0167,Shiringal Touristic Park
643,Matay,EG,57.69,scattered clouds,28.419,30.7792,Nag Aespen
644,Pokaran,IN,68.41,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
645,Huaicheng,CN,70.32,overcast clouds,23.9051,112.1931,Tengye Hotel
654,Buraydah,SA,54.05,clear sky,26.326,43.975,فندق راحة السلام
660,Alta Floresta,BR,72.18,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
664,Gat,IL,60.4,overcast clouds,31.61,34.7642,OlusHome
666,Venado Tuerto,AR,73.76,clear sky,-33.7456,-61.9688,Hotel - Miro Park
668,Donghai,CN,73.94,overcast clouds,22.9459,115.642,Huacheng Restaurant
670,Tomatlan,MX,73.51,clear sky,19.9333,-105.25,El Salvial
671,Kaeo,NZ,74.32,overcast clouds,-35.1,173.7833,Bushido Lodge
673,Asfi,MA,61.41,overcast clouds,32.2994,-9.2372,Hôtel Abda
677,Manoel Urbano,BR,72.09,moderate rain,-8.8389,-69.2597,Baixada Beira Rio
