City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Batagay,RU,67.6333,134.6333,-19.37,100,99,1.32,overcast clouds
70,Caravelas,BR,-17.7125,-39.2481,73.92,95,100,2.59,overcast clouds
71,Muros,ES,42.7762,-9.0603,56.23,91,71,7.2,broken clouds
72,Barra Do Corda,BR,-5.5,-45.25,77.02,80,8,4.61,clear sky
73,Albany,US,42.6001,-73.9662,40.8,61,100,5.39,overcast clouds
74,Salvador,SV,13.8333,-88.9167,72.0,77,78,3.02,broken clouds
75,Pomichna,UA,48.2422,31.4158,38.16,91,9,8.55,clear sky
76,Kyaikkami,MM,16.08,97.5675,80.94,77,34,4.83,scattered clouds
77,Grindavik,IS,63.8424,-22.4338,34.27,80,75,16.11,light shower snow
78,Ixtapa,MX,20.7,-105.2,79.83,74,1,3.44,clear sky
79,Hobart,AU,-42.8794,147.3294,64.26,56,20,1.99,few clouds
80,Pouembout,NC,-21.1333,164.9,82.08,57,99,8.5,overcast clouds
81,Cantagallo,CO,7.376,-73.9196,73.92,96,39,1.39,scattered clouds
82,Namtsy,RU,62.7161,129.6658,-32.69,96,96,1.74,overcast clouds
83,Helong,CN,42.5397,128.9972,33.94,55,100,3.36,overcast clouds
84,Ambilobe,MG,-13.2,49.05,71.13,86,12,4.05,few clouds
85,Setermoen,NO,68.861,18.3486,22.96,96,96,3.2,light snow
86,Port Blair,IN,11.6667,92.75,83.28,78,15,12.33,few clouds
87,Anadyr,RU,64.75,177.4833,-12.5,77,0,6.71,clear sky
88,Bosaso,SO,11.2842,49.1816,74.25,66,30,6.55,scattered clouds
89,Havelock,US,34.8791,-76.9013,53.55,83,76,3.0,broken clouds
90,Coihaique,CL,-45.5752,-72.0662,53.55,87,83,3.44,light rain
91,Taltal,CL,-25.4,-70.4833,63.14,73,41,3.33,scattered clouds
92,Rawson,AR,-43.3002,-65.1023,69.37,42,97,28.1,overcast clouds
93,Sioux Lookout,CA,50.1001,-91.917,28.47,86,1,10.36,clear sky
94,Porto Belo,BR,-27.1578,-48.5531,69.75,72,13,3.98,few clouds
95,Vaini,TO,-21.2,-175.2,86.16,84,40,8.05,scattered clouds
96,Chokurdakh,RU,70.6333,147.9167,-17.88,100,97,5.5,overcast clouds
97,Bijie,CN,27.3125,105.2942,43.99,90,100,4.12,overcast clouds
98,Matara,LK,5.9485,80.5353,77.83,78,77,8.72,broken clouds
99,Lavrentiya,RU,65.5833,-171.0,2.3,90,27,8.93,scattered clouds
100,Kahului,US,20.8947,-156.47,85.26,70,40,12.66,scattered clouds
101,Nicoya,CR,10.1483,-85.452,72.95,91,16,1.74,few clouds
102,Chuy,UY,-33.6971,-53.4616,61.43,76,0,4.63,clear sky
103,Namatanai,PG,-3.6667,152.4333,79.54,74,79,9.53,light rain
104,Cassia,BR,-20.5831,-46.9219,68.85,95,100,5.75,overcast clouds
105,Camargo,MX,27.6667,-105.1667,67.32,41,50,7.2,scattered clouds
106,Bredasdorp,ZA,-34.5322,20.0403,61.29,80,100,14.99,overcast clouds
107,Bonavista,CA,48.6499,-53.1147,38.12,70,97,21.34,overcast clouds
108,Bowen,AU,-20.0167,148.2333,84.42,58,10,9.51,clear sky
109,Samarai,PG,-10.6167,150.6667,82.54,78,36,10.6,scattered clouds
110,Norman Wells,CA,65.282,-126.8329,-0.36,78,75,5.75,light snow
111,Punta Arenas,CL,-53.15,-70.9167,39.31,70,40,19.57,scattered clouds
112,Upernavik,GL,72.7868,-56.1549,8.17,73,100,8.19,overcast clouds
113,Hambantota,LK,6.1241,81.1185,70.14,100,0,2.3,clear sky
114,Bethel,US,41.3712,-73.414,43.56,68,1,5.75,clear sky
115,Narsaq,GL,60.9167,-46.05,34.02,99,100,2.21,moderate rain
116,Dikson,RU,73.5069,80.5464,-8.91,80,51,16.17,broken clouds
117,Bengkulu,ID,-3.8004,102.2655,82.02,71,99,2.77,overcast clouds
118,San Lazaro,BZ,18.0387,-88.6622,76.71,96,100,3.65,overcast clouds
119,Tianpeng,CN,30.9866,103.9393,54.07,53,100,6.64,overcast clouds
120,Lompoc,US,34.6391,-120.4579,69.13,82,1,13.8,clear sky
121,Nemuro,JP,43.3236,145.575,37.83,60,6,8.05,clear sky
122,Shizunai,JP,42.3339,142.3669,44.89,61,20,5.17,few clouds
123,Pevek,RU,69.7008,170.3133,-12.71,100,97,4.97,overcast clouds
124,Barbosa,CO,5.9317,-73.6151,62.62,98,99,1.16,overcast clouds
125,Port Moresby,PG,-9.4431,147.1797,87.22,70,40,9.22,scattered clouds
126,Kilindoni,TZ,-7.9139,39.6668,79.7,72,8,6.71,clear sky
